id,brand,name,monthlyPayment,reason,matchedImage,source
"pricing-세닉","","세닉","1011060","브랜드 정보 없음 / 차량 이미지 없음","","spreadsheet-price"
"pricing-트랙스크로스오버","","트랙스 크로스오버","370500","브랜드 정보 없음 / 차량 이미지 없음","","spreadsheet-price"
